response_definition,slice_type,slice_name,control_family,q_level,target_probability,lambda_threshold_discount,support_integrity_status,tiles,rows,high_flow_events,bootstrap_draws_requested,bootstrap_draws_valid,lambda_bootstrap_p05,lambda_bootstrap_p50,lambda_bootstrap_p95,lambda_positive_share,ci_status
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.9,0.05,-0.0082644628099173,support_ok,130,21450,2016,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.9,0.1,-0.0082644628099173,support_ok,130,21450,2016,100,100,-0.0165289256198347,-0.0082644628099173,0.0393378099173553,0.11,ci_built
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.9,0.15,0.5144628099173554,support_ok,130,21450,2016,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.925,0.05,-0.0082644628099173,support_ok,130,21450,1513,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.925,0.1,0.3946280991735537,support_ok,130,21450,1513,100,100,0.2288223140495868,0.3834194214876033,0.5471074380165288,1.0,ci_built
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.925,0.15,0.7789256198347106,support_ok,130,21450,1513,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.95,0.05,-0.0082644628099173,support_ok,130,21450,1002,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.95,0.1,0.7458677685950412,support_ok,130,21450,1002,100,100,0.6370506198347108,0.7595971074380166,0.8659090909090909,1.0,ci_built
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.95,0.15,0.5599173553719009,support_ok,130,21450,1002,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.975,0.05,0.6942148760330578,support_ok,130,21450,500,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.975,0.1,0.2789256198347107,support_ok,130,21450,500,100,79,0.1078925619834706,0.2603305785123967,0.3653161157024788,0.9873417721518988,ci_built
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.975,0.15,,invalid_lambda,130,21450,500,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,residual_state_matched,0.8,0.05,0.0,support_ok,130,21450,4114,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,residual_state_matched,0.8,0.1,0.0,support_ok,130,21450,4114,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,residual_state_matched,0.8,0.15,0.0,support_ok,130,21450,4114,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,residual_state_matched,0.85,0.05,0.0,support_ok,130,21450,3043,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,residual_state_matched,0.85,0.1,0.0,support_ok,130,21450,3043,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,residual_state_matched,0.85,0.15,0.1570247933884297,support_ok,130,21450,3043,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,residual_state_matched,0.9,0.05,0.0,support_ok,130,21450,2016,100,0,,,,,ci_not_run_by_scope
